timestamp,r2_score,mse
2025-07-22 23:01:51,0.8285,48.5652
2025-07-22 23:37:34,0.8623,48.0168
2025-07-22 23:40:09,0.8598,55.286
2025-07-22 23:46:31,0.8842,39.503
2025-07-23 00:07:37,0.8509,51.9836
2025-07-23 11:34:57,0.9778,1.8006
2025-07-23 11:40:26,0.984,4.1018
2025-07-23 12:19:06,0.9416,1.4592
2025-07-23 12:19:51,0.8108,2.3182
